Name,Type,Minimum,Maximum,Length,Direction,Transferred From
,start,"8,353","8,353",1,reverse,M01342:73:000000000-AAFA1:1:1110:13046:26930 1:N:0:2 (reversed)
,start,"8,360","8,360",1,forward,M01342:73:000000000-AAFA1:1:2103:18422:15599 2:N:0:2 (reversed)
,start,"8,361","8,361",1,forward,M01342:73:000000000-AAFA1:1:2110:25481:20040 2:N:0:2 (reversed)
,start,"8,363","8,363",1,forward,M01342:73:000000000-AAFA1:1:1109:13640:13710 2:N:0:2 (reversed)
,start,"8,364","8,364",1,forward,M01342:73:000000000-AAFA1:1:2111:22825:19973 1:N:0:2 (reversed)
,start,"8,367","8,367",1,reverse,M01342:73:000000000-AAFA1:1:2109:21201:20887 1:N:0:2
,start,"8,369","8,369",1,forward,M01342:73:000000000-AAFA1:1:1106:10244:10372 2:N:0:2 (reversed)
,start,"8,370","8,370",1,reverse,M01342:73:000000000-AAFA1:1:1106:10998:13582 2:N:0:2
,start,"8,371","8,371",1,reverse,M01342:73:000000000-AAFA1:1:1112:18688:12491 2:N:0:2
,start,"8,371","8,371",1,forward,M01342:73:000000000-AAFA1:1:2109:21535:3018 1:N:0:2 (reversed)
,start,"8,372","8,372",1,reverse,M01342:73:000000000-AAFA1:1:1103:12312:11276 2:N:0:2 (reversed)
,start,"8,377","8,377",1,forward,M01342:73:000000000-AAFA1:1:2113:21305:12319 1:N:0:2 (reversed)
,start,"8,382","8,382",1,forward,M01342:73:000000000-AAFA1:1:1102:8304:17767 1:N:0:2 (reversed)
,start,"8,386","8,386",1,reverse,M01342:73:000000000-AAFA1:1:1107:8094:15864 1:N:0:2 (reversed)
,start,"8,386","8,386",1,forward,M01342:73:000000000-AAFA1:1:1110:18377:9897 2:N:0:2 (reversed)
,start,"8,387","8,387",1,forward,M01342:73:000000000-AAFA1:1:2112:13352:4428 2:N:0:2 (reversed)
,start,"8,389","8,389",1,forward,"M01342:73:000000000-AAFA1:1:2101:6496:12323 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2104:28186:11622 2:N:0:2 (reversed)"
,start,"8,392","8,392",1,forward,M01342:73:000000000-AAFA1:1:2110:28215:18453 1:N:0:2 (reversed)
,start,"8,393","8,393",1,reverse,M01342:73:000000000-AAFA1:1:2103:24880:13628 2:N:0:2
,start,"8,394","8,394",1,forward,M01342:73:000000000-AAFA1:1:1114:10128:10618 1:N:0:2 (reversed)
,start,"8,397","8,397",1,forward,"M01342:73:000000000-AAFA1:1:1109:18098:16388 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1112:7334:11966 2:N:0:2 (reversed)"
,start,"8,398","8,398",1,forward,M01342:73:000000000-AAFA1:1:2108:10552:22346 1:N:0:2 (reversed)
,start,"8,401","8,401",1,reverse,M01342:73:000000000-AAFA1:1:1114:18156:9202 2:N:0:2
,start,"8,401","8,401",1,forward,"M01342:73:000000000-AAFA1:1:1101:21237:10343 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2114:10678:9487 1:N:0:2"
,start,"8,402","8,402",1,forward,M01342:73:000000000-AAFA1:1:1108:19968:12939 1:N:0:2 (reversed)
,start,"8,403","8,403",1,forward,M01342:73:000000000-AAFA1:1:2113:22182:15899 2:N:0:2 (reversed)
,start,"8,405","8,405",1,reverse,"M01342:73:000000000-AAFA1:1:2101:25021:5807 1:N:0:2, M01342:73:000000000-AAFA1:1:2106:25022:24382 1:N:0:2 (reversed)"
,start,"8,406","8,406",1,reverse,"M01342:73:000000000-AAFA1:1:1103:21402:23549 1:N:0:2, M01342:73:000000000-AAFA1:1:2108:7659:14729 1:N:0:2"
,start,"8,406","8,406",1,forward,M01342:73:000000000-AAFA1:1:1110:20510:13423 2:N:0:2 (reversed)
,start,"8,410","8,410",1,forward,M01342:73:000000000-AAFA1:1:2108:19183:15378 1:N:0:2
,start,"8,411","8,411",1,reverse,M01342:73:000000000-AAFA1:1:2101:7145:10353 2:N:0:2
,start,"8,427","8,427",1,forward,M01342:73:000000000-AAFA1:1:1108:19785:5085 1:N:0:2 (reversed)
,start,"8,429","8,429",1,reverse,M01342:73:000000000-AAFA1:1:1110:11727:11642 2:N:0:2
,start,"8,431","8,431",1,reverse,"M01342:73:000000000-AAFA1:1:1106:23374:4015 1:N:0:2, M01342:73:000000000-AAFA1:1:1112:23384:3994 2:N:0:2, M01342:73:000000000-AAFA1:1:2103:28988:17166 2:N:0:2"
,start,"8,431","8,431",1,forward,M01342:73:000000000-AAFA1:1:2106:23733:16966 1:N:0:2 (reversed)
,start,"8,435","8,435",1,reverse,M01342:73:000000000-AAFA1:1:1113:19764:22526 1:N:0:2
,start,"8,439","8,439",1,forward,M01342:73:000000000-AAFA1:1:1113:8921:24279 1:N:0:2 (reversed)
,start,"8,440","8,440",1,forward,M01342:73:000000000-AAFA1:1:2112:20439:22908 1:N:0:2 (reversed)
,start,"8,443","8,443",1,reverse,"M01342:73:000000000-AAFA1:1:1101:13424:12592 1:N:0:2, M01342:73:000000000-AAFA1:1:1105:20211:3639 2:N:0:2, M01342:73:000000000-AAFA1:1:1106:2101:12895 1:N:0:2"
,start,"8,444","8,444",1,reverse,M01342:73:000000000-AAFA1:1:2114:13085:12611 2:N:0:2
,start,"8,449","8,449",1,forward,"M01342:73:000000000-AAFA1:1:1105:20926:18168 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1107:24625:22796 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1113:25464:13122 1:N:0:2, M01342:73:000000000-AAFA1:1:2101:15548:7618 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2113:7235:19700 1:N:0:2 (reversed)"
,start,"8,452","8,452",1,forward,"M01342:73:000000000-AAFA1:1:1111:10308:24526 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2112:22676:10320 2:N:0:2"
,start,"8,453","8,453",1,reverse,"M01342:73:000000000-AAFA1:1:2101:23193:25898 1:N:0:2, M01342:73:000000000-AAFA1:1:2105:19301:16659 2:N:0:2"
,start,"8,454","8,454",1,forward,"M01342:73:000000000-AAFA1:1:1105:14108:9805 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1114:5929:19892 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1113:13429:17909 2:N:0:2 (reversed)"
,start,"8,455","8,455",1,reverse,M01342:73:000000000-AAFA1:1:1102:9397:14389 1:N:0:2
,start,"8,458","8,458",1,reverse,M01342:73:000000000-AAFA1:1:2110:20428:17070 1:N:0:2
,start,"8,461","8,461",1,forward,M01342:73:000000000-AAFA1:1:2104:25475:7007 2:N:0:2 (reversed)
,start,"8,465","8,465",1,reverse,"M01342:73:000000000-AAFA1:1:2107:21680:21384 1:N:0:2, M01342:73:000000000-AAFA1:1:2110:9437:10367 2:N:0:2"
,start,"8,472","8,472",1,forward,M01342:73:000000000-AAFA1:1:1102:11344:22919 2:N:0:2 (reversed)
,start,"8,473","8,473",1,reverse,M01342:73:000000000-AAFA1:1:1107:13179:17171 2:N:0:2
,start,"8,475","8,475",1,reverse,M01342:73:000000000-AAFA1:1:1112:17803:15637 1:N:0:2
,start,"8,477","8,477",1,forward,M01342:73:000000000-AAFA1:1:2108:22560:27277 2:N:0:2
,start,"8,481","8,481",1,forward,M01342:73:000000000-AAFA1:1:1108:16171:14498 2:N:0:2 (reversed)
,start,"8,484","8,484",1,reverse,M01342:73:000000000-AAFA1:1:2101:5281:17978 1:N:0:2
,start,"8,485","8,485",1,reverse,M01342:73:000000000-AAFA1:1:1102:19122:7124 2:N:0:2
,start,"8,485","8,485",1,forward,M01342:73:000000000-AAFA1:1:1105:23455:6065 2:N:0:2 (reversed)
,start,"8,487","8,487",1,forward,M01342:73:000000000-AAFA1:1:1111:13769:17001 1:N:0:2
,start,"8,488","8,488",1,forward,M01342:73:000000000-AAFA1:1:2104:15620:19457 1:N:0:2
,start,"8,493","8,493",1,forward,"M01342:73:000000000-AAFA1:1:1114:10699:11408 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2109:24075:18032 2:N:0:2 (reversed)"
,start,"8,494","8,494",1,reverse,M01342:73:000000000-AAFA1:1:1108:15579:5865 2:N:0:2
,start,"8,497","8,497",1,forward,"M01342:73:000000000-AAFA1:1:1109:3616:19117 1:N:0:2, M01342:73:000000000-AAFA1:1:2109:11886:26799 1:N:0:2 (reversed)"
,start,"8,505","8,505",1,reverse,M01342:73:000000000-AAFA1:1:2114:15454:9751 1:N:0:2 (reversed)
,start,"8,506","8,506",1,forward,M01342:73:000000000-AAFA1:1:2112:13982:20864 2:N:0:2 (reversed)
,start,"8,510","8,510",1,forward,M01342:73:000000000-AAFA1:1:2104:20967:20568 2:N:0:2 (reversed)
,start,"8,511","8,511",1,forward,M01342:73:000000000-AAFA1:1:2109:17645:14166 2:N:0:2 (reversed)
,start,"8,512","8,512",1,forward,M01342:73:000000000-AAFA1:1:1101:10067:10255 2:N:0:2 (reversed)
,start,"8,513","8,513",1,reverse,M01342:73:000000000-AAFA1:1:2105:26335:8485 1:N:0:2
,start,"8,514","8,514",1,reverse,"M01342:73:000000000-AAFA1:1:1102:6528:16003 2:N:0:2, M01342:73:000000000-AAFA1:1:1109:6351:11558 2:N:0:2, M01342:73:000000000-AAFA1:1:2108:16460:8506 1:N:0:2, M01342:73:000000000-AAFA1:1:2113:16118:16735 1:N:0:2"
,start,"8,517","8,517",1,reverse,M01342:73:000000000-AAFA1:1:1111:13349:8546 2:N:0:2
,start,"8,525","8,525",1,reverse,M01342:73:000000000-AAFA1:1:1104:3933:20631 2:N:0:2
,start,"8,528","8,528",1,reverse,M01342:73:000000000-AAFA1:1:1101:29042:15601 1:N:0:2
,start,"8,534","8,534",1,forward,M01342:73:000000000-AAFA1:1:1112:5888:21060 2:N:0:2 (reversed)
,start,"8,543","8,543",1,forward,"M01342:73:000000000-AAFA1:1:1104:20708:17220 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1105:12388:20957 1:N:0:2, M01342:73:000000000-AAFA1:1:1113:26734:18375 1:N:0:2 (reversed)"
,start,"8,545","8,545",1,reverse,M01342:73:000000000-AAFA1:1:1103:6757:22467 2:N:0:2
,start,"8,548","8,548",1,forward,M01342:73:000000000-AAFA1:1:2107:24862:23983 2:N:0:2 (reversed)
,start,"8,551","8,551",1,forward,M01342:73:000000000-AAFA1:1:2104:18446:2630 2:N:0:2 (reversed)
,start,"8,557","8,557",1,reverse,M01342:73:000000000-AAFA1:1:2101:11283:18826 1:N:0:2
,start,"8,557","8,557",1,forward,M01342:73:000000000-AAFA1:1:2107:16908:21740 2:N:0:2 (reversed)
,start,"8,558","8,558",1,reverse,"M01342:73:000000000-AAFA1:1:1102:8578:21198 1:N:0:2, M01342:73:000000000-AAFA1:1:2108:21885:8194 2:N:0:2"
,start,"8,561","8,561",1,forward,M01342:73:000000000-AAFA1:1:2105:29520:13484 2:N:0:2 (reversed)
,start,"8,566","8,566",1,reverse,"M01342:73:000000000-AAFA1:1:1101:26013:14730 1:N:0:2, M01342:73:000000000-AAFA1:1:2114:16211:24855 2:N:0:2"
,start,"8,569","8,569",1,reverse,M01342:73:000000000-AAFA1:1:1108:23105:5961 2:N:0:2
,start,"8,573","8,573",1,forward,M01342:73:000000000-AAFA1:1:1108:18725:13985 1:N:0:2 (reversed)
,start,"8,575","8,575",1,forward,"M01342:73:000000000-AAFA1:1:1110:4623:21163 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2113:29203:16687 1:N:0:2 (reversed)"
,start,"8,578","8,578",1,forward,"M01342:73:000000000-AAFA1:1:2107:4458:13541 2:N:0:2, M01342:73:000000000-AAFA1:1:2112:12381:14257 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2112:8870:17796 2:N:0:2 (reversed)"
,start,"8,579","8,579",1,reverse,M01342:73:000000000-AAFA1:1:1103:19757:16677 2:N:0:2
,start,"8,592","8,592",1,forward,M01342:73:000000000-AAFA1:1:2104:16468:19773 1:N:0:2 (reversed)
,start,"8,594","8,594",1,forward,"M01342:73:000000000-AAFA1:1:1102:13024:19041 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2110:14423:27197 1:N:0:2 (reversed)"
,start,"8,596","8,596",1,forward,M01342:73:000000000-AAFA1:1:2111:20023:28276 1:N:0:2 (reversed)
,start,"8,597","8,597",1,forward,"M01342:73:000000000-AAFA1:1:1107:14537:5275 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1110:3076:10401 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1114:6991:10278 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2108:13067:10227 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2114:15233:2158 1:N:0:2 (reversed)"
,start,"8,599","8,599",1,forward,M01342:73:000000000-AAFA1:1:2114:21700:25714 2:N:0:2 (reversed)
,start,"8,601","8,601",1,reverse,M01342:73:000000000-AAFA1:1:1101:14134:6866 1:N:0:2
,start,"8,602","8,602",1,forward,M01342:73:000000000-AAFA1:1:2103:13517:11571 1:N:0:2 (reversed)
,start,"8,603","8,603",1,reverse,M01342:73:000000000-AAFA1:1:2106:23305:16459 1:N:0:2 (reversed)
,start,"8,604","8,604",1,reverse,M01342:73:000000000-AAFA1:1:1114:18687:4315 2:N:0:2
,start,"8,610","8,610",1,forward,M01342:73:000000000-AAFA1:1:1102:15496:16541 2:N:0:2
,start,"8,612","8,612",1,reverse,"M01342:73:000000000-AAFA1:1:1105:20541:21062 1:N:0:2, M01342:73:000000000-AAFA1:1:2105:11133:15566 1:N:0:2"
,start,"8,617","8,617",1,reverse,M01342:73:000000000-AAFA1:1:1107:3631:18395 1:N:0:2
,start,"8,621","8,621",1,forward,"M01342:73:000000000-AAFA1:1:1104:12029:12938 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1111:14966:8847 2:N:0:2 (reversed)"
,start,"8,625","8,625",1,forward,M01342:73:000000000-AAFA1:1:2113:17117:9793 1:N:0:2 (reversed)
,start,"8,629","8,629",1,reverse,M01342:73:000000000-AAFA1:1:1105:22288:9187 2:N:0:2
,start,"8,630","8,630",1,reverse,M01342:73:000000000-AAFA1:1:1104:16884:13282 2:N:0:2
,start,"8,637","8,637",1,reverse,M01342:73:000000000-AAFA1:1:2104:6800:14069 1:N:0:2 (reversed)
,start,"8,642","8,642",1,forward,M01342:73:000000000-AAFA1:1:1111:16528:10087 1:N:0:2 (reversed)
,start,"8,643","8,643",1,reverse,M01342:73:000000000-AAFA1:1:2114:21608:27961 1:N:0:2
,start,"8,645","8,645",1,forward,M01342:73:000000000-AAFA1:1:1101:7823:4866 2:N:0:2 (reversed)
,start,"8,647","8,647",1,reverse,M01342:73:000000000-AAFA1:1:1110:27754:15830 2:N:0:2
,start,"8,648","8,648",1,reverse,M01342:73:000000000-AAFA1:1:1101:6409:7392 1:N:0:2
,start,"8,653","8,653",1,reverse,M01342:73:000000000-AAFA1:1:1101:17386:12370 1:N:0:2
,start,"8,653","8,653",1,forward,"M01342:73:000000000-AAFA1:1:2111:10406:9491 2:N:0:2, M01342:73:000000000-AAFA1:1:2113:26773:18735 2:N:0:2"
,start,"8,656","8,656",1,reverse,M01342:73:000000000-AAFA1:1:2103:8550:19852 2:N:0:2
,start,"8,660","8,660",1,reverse,M01342:73:000000000-AAFA1:1:1108:18717:13552 1:N:0:2
,start,"8,661","8,661",1,reverse,M01342:73:000000000-AAFA1:1:1111:12209:7692 1:N:0:2
,start,"8,662","8,662",1,reverse,"M01342:73:000000000-AAFA1:1:1102:18279:11356 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1106:22192:16006 2:N:0:2"
,start,"8,665","8,665",1,forward,"M01342:73:000000000-AAFA1:1:1112:16663:20254 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2108:16396:23482 2:N:0:2 (reversed)"
,start,"8,674","8,674",1,reverse,M01342:73:000000000-AAFA1:1:2112:23171:20622 2:N:0:2
,start,"8,678","8,678",1,reverse,M01342:73:000000000-AAFA1:1:1114:25097:20875 2:N:0:2
,start,"8,682","8,682",1,reverse,M01342:73:000000000-AAFA1:1:2113:9917:13609 2:N:0:2
,start,"8,686","8,686",1,forward,M01342:73:000000000-AAFA1:1:1113:4151:17539 2:N:0:2 (reversed)
,start,"8,696","8,696",1,forward,M01342:73:000000000-AAFA1:1:1113:23799:26492 1:N:0:2 (reversed)
,start,"8,701","8,701",1,forward,M01342:73:000000000-AAFA1:1:1107:9777:23376 1:N:0:2 (reversed)
,start,"8,703","8,703",1,forward,M01342:73:000000000-AAFA1:1:2113:23885:17611 1:N:0:2 (reversed)
,start,"8,705","8,705",1,reverse,M01342:73:000000000-AAFA1:1:1113:23459:20230 2:N:0:2
,start,"8,705","8,705",1,forward,M01342:73:000000000-AAFA1:1:2103:6605:12466 1:N:0:2 (reversed)
,start,"8,709","8,709",1,reverse,"M01342:73:000000000-AAFA1:1:1102:15911:15026 2:N:0:2, M01342:73:000000000-AAFA1:1:1106:11130:27952 2:N:0:2"
,start,"8,710","8,710",1,reverse,M01342:73:000000000-AAFA1:1:1106:19378:17313 2:N:0:2
,start,"8,712","8,712",1,forward,M01342:73:000000000-AAFA1:1:2109:17082:21572 1:N:0:2 (reversed)
,start,"8,714","8,714",1,reverse,"M01342:73:000000000-AAFA1:1:1106:18785:26171 2:N:0:2, M01342:73:000000000-AAFA1:1:1108:23354:25692 1:N:0:2, M01342:73:000000000-AAFA1:1:2106:14890:27078 2:N:0:2"
,start,"8,721","8,721",1,reverse,M01342:73:000000000-AAFA1:1:1112:5991:11098 1:N:0:2 (reversed)
,start,"8,727","8,727",1,reverse,M01342:73:000000000-AAFA1:1:2114:13982:9784 1:N:0:2
,start,"8,728","8,728",1,forward,"M01342:73:000000000-AAFA1:1:1109:13943:4362 1:N:0:2, M01342:73:000000000-AAFA1:1:2108:4410:23444 1:N:0:2 (reversed)"
,start,"8,747","8,747",1,forward,M01342:73:000000000-AAFA1:1:1112:27206:21680 2:N:0:2 (reversed)
,start,"8,753","8,753",1,forward,M01342:73:000000000-AAFA1:1:2111:14188:6539 2:N:0:2 (reversed)
,start,"8,755","8,755",1,reverse,"M01342:73:000000000-AAFA1:1:2104:23039:14484 2:N:0:2, M01342:73:000000000-AAFA1:1:2105:18584:20620 2:N:0:2"
,start,"8,758","8,758",1,forward,M01342:73:000000000-AAFA1:1:2104:13985:23391 1:N:0:2 (reversed)
,start,"8,763","8,763",1,forward,M01342:73:000000000-AAFA1:1:1114:27183:16968 1:N:0:2 (reversed)
,start,"8,776","8,776",1,reverse,"M01342:73:000000000-AAFA1:1:2107:22749:26906 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2107:7012:4460 2:N:0:2"
,start,"8,780","8,780",1,forward,M01342:73:000000000-AAFA1:1:1113:25287:12846 2:N:0:2 (reversed)
,start,"8,788","8,788",1,reverse,M01342:73:000000000-AAFA1:1:1110:23619:22376 1:N:0:2
,start,"8,790","8,790",1,reverse,M01342:73:000000000-AAFA1:1:2101:22431:13997 1:N:0:2
,start,"8,795","8,795",1,forward,M01342:73:000000000-AAFA1:1:2109:11315:27896 1:N:0:2 (reversed)
,start,"8,802","8,802",1,forward,M01342:73:000000000-AAFA1:1:1114:6418:20003 2:N:0:2 (reversed)
,start,"8,806","8,806",1,forward,"M01342:73:000000000-AAFA1:1:1101:20826:20409 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1107:12163:13204 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1114:3467:8562 1:N:0:2 (reversed)"
,start,"8,808","8,808",1,reverse,M01342:73:000000000-AAFA1:1:2113:14742:9100 1:N:0:2
,start,"8,810","8,810",1,reverse,M01342:73:000000000-AAFA1:1:1108:28867:11182 2:N:0:2 (reversed)
,start,"8,825","8,825",1,reverse,M01342:73:000000000-AAFA1:1:1114:23044:22071 2:N:0:2
,start,"8,840","8,840",1,reverse,"M01342:73:000000000-AAFA1:1:1109:7882:13882 1:N:0:2, M01342:73:000000000-AAFA1:1:2105:20833:13001 1:N:0:2"
,start,"8,840","8,840",1,forward,"M01342:73:000000000-AAFA1:1:1106:7584:6422 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2106:21290:15545 1:N:0:2 (reversed)"
,start,"8,842","8,842",1,reverse,M01342:73:000000000-AAFA1:1:2113:14427:22026 1:N:0:2
,start,"8,844","8,844",1,reverse,"M01342:73:000000000-AAFA1:1:2101:15994:13079 1:N:0:2, M01342:73:000000000-AAFA1:1:2108:9582:27079 1:N:0:2"
,start,"8,846","8,846",1,forward,"M01342:73:000000000-AAFA1:1:1108:23368:16014 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2108:3269:16422 1:N:0:2"
,start,"8,851","8,851",1,reverse,M01342:73:000000000-AAFA1:1:1109:8989:21137 1:N:0:2
,start,"8,851","8,851",1,forward,M01342:73:000000000-AAFA1:1:1103:24500:22300 2:N:0:2 (reversed)
,start,"8,853","8,853",1,forward,M01342:73:000000000-AAFA1:1:1108:7726:4193 1:N:0:2 (reversed)
,start,"8,873","8,873",1,forward,M01342:73:000000000-AAFA1:1:2103:17195:21799 1:N:0:2 (reversed)
,start,"8,879","8,879",1,reverse,M01342:73:000000000-AAFA1:1:1106:21399:9965 2:N:0:2
,start,"8,899","8,899",1,forward,M01342:73:000000000-AAFA1:1:1111:24696:9353 1:N:0:2
,start,"8,919","8,919",1,reverse,M01342:73:000000000-AAFA1:1:1110:14218:12196 2:N:0:2
,start,"8,922","8,922",1,reverse,M01342:73:000000000-AAFA1:1:2106:12736:23368 2:N:0:2
,start,"8,924","8,924",1,forward,"M01342:73:000000000-AAFA1:1:1109:14224:19476 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2103:23205:5252 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2113:19823:22089 1:N:0:2 (reversed)"
,start,"8,926","8,926",1,reverse,M01342:73:000000000-AAFA1:1:2114:15094:4494 1:N:0:2 (reversed)
,start,"8,926","8,926",1,forward,M01342:73:000000000-AAFA1:1:1109:17668:7328 2:N:0:2 (reversed)
,start,"8,928","8,928",1,reverse,M01342:73:000000000-AAFA1:1:2112:22897:19735 2:N:0:2
,start,"8,932","8,932",1,reverse,M01342:73:000000000-AAFA1:1:2103:12701:10129 1:N:0:2 (reversed)
,start,"8,935","8,935",1,reverse,"M01342:73:000000000-AAFA1:1:2105:16319:12584 1:N:0:2, M01342:73:000000000-AAFA1:1:2106:26076:11691 2:N:0:2"
,start,"8,939","8,939",1,forward,M01342:73:000000000-AAFA1:1:2104:14945:16233 1:N:0:2 (reversed)
,start,"8,971","8,971",1,forward,M01342:73:000000000-AAFA1:1:1108:13912:26368 1:N:0:2 (reversed)
,start,"8,975","8,975",1,forward,M01342:73:000000000-AAFA1:1:1108:17996:26097 2:N:0:2 (reversed)
,start,"9,001","9,001",1,forward,M01342:73:000000000-AAFA1:1:2105:16539:7178 1:N:0:2 (reversed)
,start,"9,002","9,002",1,forward,M01342:73:000000000-AAFA1:1:2106:10325:17603 1:N:0:2 (reversed)
,start,"9,017","9,017",1,forward,M01342:73:000000000-AAFA1:1:2109:6716:22731 2:N:0:2 (reversed)
,start,"9,023","9,023",1,forward,M01342:73:000000000-AAFA1:1:1102:20991:20688 1:N:0:2 (reversed)
,start,"9,026","9,026",1,forward,M01342:73:000000000-AAFA1:1:1109:28462:16830 1:N:0:2
,start,"9,029","9,029",1,forward,M01342:73:000000000-AAFA1:1:2114:2338:16434 2:N:0:2 (reversed)
,start,"9,035","9,035",1,forward,"M01342:73:000000000-AAFA1:1:1111:22348:10382 2:N:0:2, M01342:73:000000000-AAFA1:1:2101:13750:11644 1:N:0:2, M01342:73:000000000-AAFA1:1:2103:7818:11958 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2106:26301:10604 1:N:0:2 (reversed)"
,start,"9,036","9,036",1,reverse,M01342:73:000000000-AAFA1:1:1114:4514:9612 1:N:0:2
,start,"9,043","9,043",1,reverse,"M01342:73:000000000-AAFA1:1:1101:9945:26720 2:N:0:2, M01342:73:000000000-AAFA1:1:1111:20203:2862 1:N:0:2 (reversed)"
,start,"9,047","9,047",1,reverse,M01342:73:000000000-AAFA1:1:2113:19030:16171 1:N:0:2
,start,"9,050","9,050",1,forward,M01342:73:000000000-AAFA1:1:2108:25682:15243 1:N:0:2 (reversed)
,start,"9,054","9,054",1,reverse,M01342:73:000000000-AAFA1:1:2106:13933:28235 1:N:0:2
,start,"9,061","9,061",1,reverse,M01342:73:000000000-AAFA1:1:1103:13711:18506 1:N:0:2
,start,"9,082","9,082",1,reverse,M01342:73:000000000-AAFA1:1:2108:24920:15492 1:N:0:2 (reversed)
,start,"9,086","9,086",1,forward,"M01342:73:000000000-AAFA1:1:1104:27743:8493 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1105:23507:8819 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1110:15410:25524 2:N:0:2, M01342:73:000000000-AAFA1:1:2112:20769:19002 2:N:0:2 (reversed)"
,start,"9,087","9,087",1,reverse,M01342:73:000000000-AAFA1:1:1107:19749:16250 1:N:0:2
,start,"9,115","9,115",1,forward,M01342:73:000000000-AAFA1:1:1102:15374:24797 2:N:0:2 (reversed)
,start,"9,139","9,139",1,reverse,"M01342:73:000000000-AAFA1:1:1104:15050:26712 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1104:15063:26697 1:N:0:2 (reversed)"
,start,"9,140","9,140",1,forward,M01342:73:000000000-AAFA1:1:1104:22698:17783 1:N:0:2 (reversed)
,start,"9,144","9,144",1,forward,"M01342:73:000000000-AAFA1:1:2109:23667:5961 1:N:0:2, M01342:73:000000000-AAFA1:1:2112:6799:10148 1:N:0:2 (reversed)"
,start,"9,146","9,146",1,reverse,M01342:73:000000000-AAFA1:1:1107:20429:20717 2:N:0:2
,start,"9,156","9,156",1,reverse,M01342:73:000000000-AAFA1:1:2113:14907:23481 1:N:0:2
,start,"9,156","9,156",1,forward,M01342:73:000000000-AAFA1:1:1103:8527:4166 1:N:0:2 (reversed)
,start,"9,161","9,161",1,forward,M01342:73:000000000-AAFA1:1:2112:9936:18339 1:N:0:2 (reversed)
,start,"9,164","9,164",1,forward,M01342:73:000000000-AAFA1:1:1114:25903:18116 2:N:0:2 (reversed)
,start,"9,165","9,165",1,reverse,M01342:73:000000000-AAFA1:1:2104:19071:26516 1:N:0:2
,start,"9,168","9,168",1,reverse,M01342:73:000000000-AAFA1:1:2113:8797:9540 2:N:0:2
,start,"9,183","9,183",1,forward,M01342:73:000000000-AAFA1:1:2112:9326:21367 1:N:0:2 (reversed)
,start,"9,201","9,201",1,forward,"M01342:73:000000000-AAFA1:1:1108:18033:23923 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2111:11832:8832 1:N:0:2"
,start,"9,210","9,210",1,forward,M01342:73:000000000-AAFA1:1:2106:15701:18748 1:N:0:2
,start,"9,214","9,214",1,reverse,M01342:73:000000000-AAFA1:1:1109:8771:11372 1:N:0:2
,start,"9,214","9,214",1,forward,M01342:73:000000000-AAFA1:1:1103:19029:25222 1:N:0:2 (reversed)
,start,"9,231","9,231",1,forward,M01342:73:000000000-AAFA1:1:2113:21589:16135 1:N:0:2 (reversed)
,start,"9,233","9,233",1,reverse,"M01342:73:000000000-AAFA1:1:1106:24905:9022 1:N:0:2, M01342:73:000000000-AAFA1:1:2101:17898:7701 1:N:0:2"
,start,"9,234","9,234",1,forward,M01342:73:000000000-AAFA1:1:2114:23408:7293 2:N:0:2
,start,"9,255","9,255",1,forward,M01342:73:000000000-AAFA1:1:1112:28911:15964 2:N:0:2 (reversed)
